2022-03-30T16:34:48.534929106Z stdout: CANARY ::> Connection Establish -> Time = 0.009201288223266602.s
2022-03-30T16:35:17.495141478Z stdout: CANARY ::> Query 4 completed -> Time = 28.969554901123047.s
2022-03-30T16:35:17.495798844Z stdout: CANARY ::> Query 5 completed -> Time = 28.97027564048767.s
2022-03-30T16:35:19.490974872Z stdout: CANARY ::> Query 6 completed -> Time = 30.965209007263184.s
2022-03-30T16:35:19.490992182Z stdout: CANARY ::> State 7 collection -> Time = 30.965255975723267.s
2022-03-30T16:35:19.490995126Z stdout: CANARY ::> Iteration 8 starting -> Time = 30.96526312828064.s
2022-03-30T16:35:19.925506338Z stdout: CANARY ::> Query 1 completed -> Time = 31.399767875671387.s
2022-03-30T16:35:20.417283412Z stdout: CANARY ::> Query 2 completed -> Time = 31.891618728637695.s
2022-03-30T16:35:20.453653515Z stdout: CANARY ::> Query 3 completed -> Time = 31.927961349487305.s
2022-03-30T16:35:21.407700498Z stdout: CANARY ::> Query 4 completed -> Time = 32.88196635246277.s
2022-03-30T16:35:21.408267045Z stdout: CANARY ::> Query 5 completed -> Time = 32.88274431228638.s
2022-03-30T16:35:23.413420583Z stdout: CANARY ::> Query 6 completed -> Time = 34.8877329826355.s
2022-03-30T16:35:23.413437972Z stdout: CANARY ::> State 8 collection -> Time = 34.887776374816895.s
2022-03-30T16:35:23.413440949Z stdout: CANARY ::> Iteration 9 starting -> Time = 34.88778495788574.s
2022-03-30T16:35:23.838180274Z stdout: CANARY ::> Query 1 completed -> Time = 35.312466621398926.s
2022-03-30T16:35:24.316271074Z stdout: CANARY ::> Query 2 completed -> Time = 35.79054522514343.s
2022-03-30T16:35:24.350241779Z stdout: CANARY ::> Query 3 completed -> Time = 35.82454586029053.s
2022-03-30T16:35:25.273086589Z stdout: CANARY ::> Query 4 completed -> Time = 36.74733924865723.s
2022-03-30T16:35:25.273790874Z stdout: CANARY ::> Query 5 completed -> Time = 36.74825358390808.s
2022-03-30T16:35:27.233600092Z stdout: CANARY ::> Query 6 completed -> Time = 38.70785617828369.s
2022-03-30T16:35:27.233617206Z stdout: CANARY ::> State 9 collection -> Time = 38.707900285720825.s
2022-03-30T16:35:27.233620178Z stdout: CANARY ::> Iteration 10 starting -> Time = 38.70790934562683.s
2022-03-30T16:35:27.658576725Z stdout: CANARY ::> Query 1 completed -> Time = 39.1329824924469.s
2022-03-30T16:35:28.132477636Z stdout: CANARY ::> Query 2 completed -> Time = 39.6067214012146.s
2022-03-30T16:35:28.169538025Z stdout: CANARY ::> Query 3 completed -> Time = 39.64386987686157.s
2022-03-30T16:35:29.033645933Z stdout: CANARY ::> Query 4 completed -> Time = 40.50793218612671.s
